Date,country,crypto,interest,country_code,iso3,name,region,lon,lat,Open,High,Low,Close,Volume,returns,log_returns,volatility_7d,volatility_30d,returns_squared,price_normalized
2022-01-09,US,Bitcoin,38,US,USA,United States,Americas,-77.0369,38.9072,41734.7265625,42663.94921875,41338.16015625,41911.6015625,21294384372,0.004256970472081845,0.004247935206112907,0.02054287730274534,0.02931874545090913,1.8121797600176723e-05,0.2696761741423607
2022-01-16,US,Bitcoin,42,US,USA,United States,Americas,-77.0369,38.9072,43172.0390625,43436.80859375,42691.0234375,43113.87890625,17902097845,-0.0014711291913973579,-0.0014722123644015362,0.01943622088505909,0.02411041623177585,2.164221097781444e-06,0.28027542493229907
2022-01-23,US,Bitcoin,57,US,USA,United States,Americas,-77.0369,38.9072,35047.359375,36433.3125,34784.96875,36276.8046875,26017975951,0.03558509252717301,0.034966573781181565,0.04277050113473702,0.02889700239108003,0.0012662988101674645,0.2199999280258034
2022-01-30,US,Bitcoin,37,US,USA,United States,Americas,-77.0369,38.9072,38151.91796875,38266.33984375,37437.7109375,37917.6015625,14643548444,-0.005783656346668664,-0.005800446457155093,0.007990400640177487,0.027701478121949216,3.345068073636072e-05,0.2344651574205681
2022-02-06,US,Bitcoin,38,US,USA,United States,Americas,-77.0369,38.9072,41441.12109375,42500.78515625,41244.90625,42412.43359375,16142097334,0.023437312952531153,0.02316687651757865,0.04935378408629654,0.03452709660454659,0.0005493076384348846,0.2740914983855137
2022-02-13,US,Bitcoin,31,US,USA,United States,Americas,-77.0369,38.9072,42236.56640625,42693.0546875,41950.94140625,42197.515625,14741589015,-0.001111462077505676,-0.001112080209543203,0.019246005769174297,0.03445209665821176,1.2353479497332335e-06,0.2721967862694722
2022-02-20,US,Bitcoin,38,US,USA,United States,Americas,-77.0369,38.9072,40118.1015625,40119.890625,38112.8125,38431.37890625,18340576452,-0.04214073972532317,-0.043054421746525254,0.039472818116235056,0.03355790968283753,0.0017758419445974307,0.23899460725583585
2022-02-27,US,Bitcoin,35,US,USA,United States,Americas,-77.0369,38.9072,39098.69921875,39778.94140625,37268.9765625,37709.78515625,23450127612,-0.03568234201898368,-0.036334517924426976,0.030341696521210198,0.034752770825038186,0.0012732295319597285,0.23263305252434083
2022-03-06,US,Bitcoin,32,US,USA,United States,Americas,-77.0369,38.9072,39404.19921875,39640.17578125,38211.6484375,38419.984375,19745229902,-0.024887994408395286,-0.025202937052357023,0.07034526751719429,0.04091378009982433,0.000619412265672315,0.2388941533173329
2022-03-13,US,Bitcoin,27,US,USA,United States,Americas,-77.0369,38.9072,38884.7265625,39209.3515625,37728.14453125,37849.6640625,17300745310,-0.027101257933814904,-0.027475269974984843,0.04489616879516752,0.04462168734915885,0.0007344781815951652,0.23386622190516076
